name,fname,lname,email,phone,position,address,city,country,linkedin,activity
Abdelhalim Souri,Abdelhalim,Souri,,,technical director,,,Morocco,,Unmanned Aerial Vehicles | Technology | Space Tech
Soulaimane Atalabi,Soulaimane,Atalabi,,,Managing Director,,,Morocco,,Technology | Software Services | Ecommerce
Ahmed Assem,Ahmed,Assem,,,Director Adjoint,,,Morocco,,Retail Tech | Regulatory Technology | PropTech | Mobile Accessories & Peripherals | Future Mobility & Transportation | Energy Tech | Ecommerce | 5G & Telecommunications
Youssef Ziouana,Youssef,Ziouana,,,IT DIRECTOR,,,Morocco,,"Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | Media, Marketing & Advertising Tech | Energy Tech | Ecommerce | Data Centres | Cyber security | Consumer Tech, Smart Home & Smart Workplace | Big Data & Analytics | AgriTech & FoodTech | 5G & Telecommunications"
Philippe Ducrocq,Philippe,Ducrocq,,,Director Industrialisation,,,Morocco,,Technology | Space Tech | Software Services | Smart Cities | Networking & Infrastructure | Cyber security | Cloud Services | Artificial Intelligence
Youssef Berrada,Youssef,Berrada,,,Business Dveloppement and strategic Aliences director,,,Morocco,,Technology | Software Services | Networking & Infrastructure
Abdeltif Fahim,Abdeltif,Fahim,,,Technical Director,,,Morocco,,"Technology | Software Services | Networking & Infrastructure | Data Centres | Cyber security | Consumer Tech, Smart Home & Smart Workplace"
Quaana LAHCEN,Quaana,LAHCEN,,,Director,,,Morocco,,Technology | Software Services | Regulatory Technology | Networking & Infrastructure | Cyber security | Cloud Services | Big Data & Analytics | Artificial Intelligence
Abdel Labrache,Abdel,Labrache,,,Managing Director,,,Morocco,,Technology | Software Services | Retail Tech | Ecommerce | Digital Finance | Cyber security | Cloud Services | Big Data & Analytics | Artificial Intelligence
Bouhali Mohamed,Bouhali,Mohamed,,,Director,,,Morocco,,Technology | Software Services | Smart Cities | Networking & Infrastructure | Internet of Things (IOT)
Hicham ZOUHIR,Hicham,ZOUHIR,,,Managing Director,,,Morocco,,Technology | Software Services | Networking & Infrastructure | HealthTech | Data Centres | Cyber security | Cloud Services | Artificial Intelligence
Iliass Terchoune,Iliass,Terchoune,,,Partner,,,Morocco,,Industry: Technology | Company Type: Private Company | Country: Morocco
Hanane ABOUSSAID,Hanane,ABOUSSAID,,,Marketing Associate,,,Morocco,,Technology | Space Tech | Software Services
Asmaa Bilal,Asmaa,Bilal,,,Regional Marketing Specialist,,,Morocco,,Technology | Sustainability & Green Climate - Tech | Software Services | Networking & Infrastructure | HealthTech | Education Tech | Ecommerce | Digital Finance | Cyber security | Cloud Services | 5G & Telecommunications | 3D Printing & Printing Services
Abdelmounim Zaghloul,Abdelmounim,Zaghloul,,,Managing Partner,,,Morocco,,Technology | Software Services | Regulatory Technology | HealthTech | Education Tech | Data Centres | Cyber security | Big Data & Analytics | Artificial Intelligence
Soukaina Benmoussa,Soukaina,Benmoussa,,,Cloud Business Development Manager,,,Morocco,,Technology | Software Services | Cyber security
Salma Tridou,Salma,Tridou,,,Freelancer,,,Morocco,,Technology | Space Tech | Software Services | Networking & Infrastructure | Cyber security | Big Data & Analytics | Artificial Intelligence
Tanzakkine Taha,Tanzakkine,Taha,,,Supervisor,,,Morocco,,Unmanned Aerial Vehicles | Technology | Space Tech | Software Services | Smart Manufacturing | Retail Tech | Regulatory Technology | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | HealthTech | Gaming | Energy Tech | Education Tech | Data Centres | Cyber security | 5G & Telecommunications | 3D Printing & Printing Services
Ali ouzayd,Ali,ouzayd,,,MANAGER,,,Morocco,,"Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | HealthTech | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Fatimaezzahra Jaber,Fatimaezzahra,Jaber,,,Supervisor,,,Morocco,,Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Future Mobility & Transportation | Energy Tech | Ecommerce | Digital Finance | Cyber security | Cloud Services | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services
Chaimae Hrikane,Chaimae,Hrikane,,,Master student,,,Morocco,,"Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | HealthTech | Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Afaf Ailane,Afaf,Ailane,,,Financial Manager,,,Morocco,,"Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | HealthTech | Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Salah IBRABRINE,Salah,IBRABRINE,,,General Manager,,,Morocco,,Technology | Software Services | Cyber security | Cloud Services
Larbi BERRADA,Larbi,BERRADA,,,General Manager,,,Morocco,,Technology | Space Tech | Software Services
Omar tarfaoui,Omar,tarfaoui,,,Manager,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Space Tech | Software Services | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Energy Tech | Education Tech | Ecommerce | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Big Data & Analytics | Artificial Intelligence | 5G & Telecommunications | 3D Printing & Printing Services"
Assia ZOUIOUIG,Assia,ZOUIOUIG,,,Student,,,Morocco,,"Technology | Software Services | AR/VR/MR & Gaming | Gaming | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Aicha Regragui,Aicha,Regragui,,,Administrator,,,Morocco,,"Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Regulatory Technology | Networking & Infrastructure | Mobile Accessories & Peripherals | Media, Marketing & Advertising Tech | HealthTech | Energy Tech | Data Centres | Cyber security | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech"
Fatima Zahra Debbaghi,Fatima,Zahra Debbaghi,,,Facility manager,,,Morocco,,Technology | Space Tech | Networking & Infrastructure
Lalla Amina TITANI,Lalla,Amina TITANI,,,MANAGER,,,Morocco,,"Incubator/Accelerator/Investment | Retail Tech | PropTech | Media, Marketing & Advertising Tech | Internet of Things (IOT)"
Driss Idrissi,Driss,Idrissi,,,Manager,,,Morocco,,Technology | Networking & Infrastructure | Internet of Things (IOT) | Ecommerce | Big Data & Analytics | 3D Printing & Printing Services
Ymane TARRASS,Ymane,TARRASS,,,General manager,,,Morocco,,Technology | Software Services | Smart Manufacturing | Networking & Infrastructure | Mobile Accessories & Peripherals | Internet of Things (IOT) | Future Mobility & Transportation | Cyber security | Artificial Intelligence | 3D Printing & Printing Services
Hamza Jratlou,Hamza,Jratlou,,,IT manager,,,Morocco,,Technology | Software Services | Networking & Infrastructure | Education Tech | Data Centres | Cyber security | Cloud Services | Artificial Intelligence | 5G & Telecommunications
Mohamed Aznag,Mohamed,Aznag,,,MANAGER,,,Morocco,,Technology | Space Tech | Mobile Accessories & Peripherals
Nabil Boumrach,Nabil,Boumrach,,,Manager,,,Morocco,,Technology | Space Tech | Gaming | Ecommerce | 5G & Telecommunications
Fatima Ezzahra Rakhaoui,Fatima,Ezzahra Rakhaoui,,,Manager,,,Morocco,,Technology | Space Tech | Software Services | Smart Cities | Retail Tech | Cloud Services | Big Data & Analytics | Artificial Intelligence
Abess Dalil,Abess,Dalil,,,Manager IT,,,Morocco,,Technology | Smart Manufacturing | Cyber security
Faycal Lahlou,Faycal,Lahlou,,,Manager,,,Morocco,,Technology | Software Services | Networking & Infrastructure | Internet of Things (IOT) | Education Tech | Data Centres | Cyber security | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | 5G & Telecommunications
Naoufal Jihad,Naoufal,Jihad,,,Manager,,,Morocco,,"Technology | Retail Tech | Networking & Infrastructure | Mobile Accessories & Peripherals | Internet of Things (IOT) | Future Mobility & Transportation | Education Tech | Ecommerce | Data Centres | Cyber security | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | 3D Printing & Printing Services"
Israe khayat,Israe,khayat,,,Freelancer,,,Morocco,,Technology | Space Tech | Software Services
Ayoub FARHLOUL,Ayoub,FARHLOUL,,,Manager,,,Morocco,,Technology | Software Services | Regulatory Technology
Youness TOURABI,Youness,TOURABI,,,Manager,,,Morocco,,"Technology | Smart Cities | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | Data Centres | Cyber security | Big Data & Analytics"
Manuel Canas,Manuel,Canas,,,Sales Country Manager,,,Morocco,,Technology | Space Tech | 5G & Telecommunications
Abdellah Lamnzah,Abdellah,Lamnzah,,,MANAGER,,,Morocco,,Technology | Space Tech | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals
Tawfik RIDAY,Tawfik,RIDAY,,,Product Manager,,,Morocco,,Technology | Space Tech | Software Services
Sefrioui Kamal,Sefrioui,Kamal,,,Manager,,,Morocco,,Technology | Software Services | Retail Tech
Morad MOUJAHID,Morad,MOUJAHID,,,MANAGER,,,Morocco,,Technology | Space Tech | Software Services | Smart Manufacturing | Retail Tech | Mobile Accessories & Peripherals | Data Centres | Artificial Intelligence
Oumaima Hniel,Oumaima,Hniel,,,Account Manager,,,Morocco,,Technology | Space Tech | Software Services | Retail Tech
Siham Razki,Siham,Razki,,,Account Manager,,,Morocco,,Technology | Space Tech | Software Services | Retail Tech
Mehdi Zbaidi,Mehdi,Zbaidi,,,Account Manager,,,Morocco,,Technology | Space Tech | Software Services | Retail Tech
Fatima Ezzahra Benzidane,Fatima,Ezzahra Benzidane,,,Ingnieur informatique,,,Morocco,,Technology | Space Tech | Software Services
Mohamed EL OUAHABI,Mohamed,EL OUAHABI,,,Manager,,,Morocco,,Technology | Software Services | Quantum & High Performance Computing | Networking & Infrastructure | Data Centres | Cyber security | Cloud Services
Majda Addichi,Majda,Addichi,,,Freelancer,,,Morocco,,Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Retail Tech
Fatima Ezzahra Chadil,Fatima,Ezzahra Chadil,,,Account Manager,,,Morocco,,Technology | Space Tech | Retail Tech | Data Centres | Cyber security
Sara Ezzaarate,Sara,Ezzaarate,,,Business Manager,,,Morocco,,Technology | Software Services | Data Centres | Cyber security
Yacine SENHAJ,Yacine,SENHAJ,,,Sales Manager,,,Morocco,,Technology | Software Services | Smart Manufacturing | Smart Cities | Quantum & High Performance Computing | Networking & Infrastructure | Internet of Things (IOT) | HealthTech | Energy Tech | Education Tech | Data Centres | Cyber security | Cloud Services | Artificial Intelligence
Mostafa Mouchrif,Mostafa,Mouchrif,,,MANAGER,,,Morocco,,Technology | Software Services | Cyber security
Otmane El Graoui,Otmane,El Graoui,,,Chief Executive Officer,,,Morocco,,Technology | Software Services | Data Centres | Cyber security | Cloud Services | Big Data & Analytics | Artificial Intelligence
Sami ZREOUIL,Sami,ZREOUIL,,,Country Manager,,,Morocco,,Technology | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | PropTech | Energy Tech | Education Tech | Digital Finance | Cloud Services | Big Data & Analytics | Artificial Intelligence
Mr Abdou,Mr,Abdou,,,IT MANAGER,,,Morocco,,Technology | Software Services | Regulatory Technology
Mohammed Amine LEGSIR,Mohammed,Amine LEGSIR,,,Directeur General,,,Morocco,,Technology | Software Services | Digital Finance | Cyber security | Cloud Services | Big Data & Analytics | Artificial Intelligence
Abdelmajid Grari,Abdelmajid,Grari,,,Manager,,,Morocco,,Technology | Data Centres | Cyber security | Cloud Services | Blockchain | Artificial Intelligence
Yassir kadouari,Yassir,kadouari,,,Student,,,Morocco,,Technology | Software Services | Cyber security | Big Data & Analytics
El Mehdi Benchrif,El,Mehdi Benchrif,,,IT Administrator,,,Morocco,,Technology | Space Tech | Software Services | Retail Tech | Data Centres
Abdellatif Malki,Abdellatif,Malki,,,Acount Manager,,,Morocco,,Technology | Space Tech | Software Services
Haytam Aitdaoud,Haytam,Aitdaoud,,,HR COORDINATOR,,,Morocco,,Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities
Nada Maliki,Nada,Maliki,,,Computer Science Engineer,,,Morocco,,Space Tech | Smart Manufacturing | Smart Cities | Networking & Infrastructure | Big Data & Analytics | Artificial Intelligence
Salaheddine Elmechrafi,Salaheddine,Elmechrafi,,,Software Engineer,,,Morocco,,Technology | Software Services | Smart Cities
Hamza El Hajib,Hamza,El Hajib,,,Software Engineer,,,Morocco,,"Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | HealthTech | Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Badr Tebaa,Badr,Tebaa,,,Engineer,,,Morocco,,Incubator/Accelerator/Investment | Technology | Sustainability & Green Climate - Tech | Software Services | Smart Manufacturing | Smart Cities | PropTech | AR/VR/MR & Gaming | HealthTech | Gaming | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres
Anass Dada,Anass,Dada,,,Software Engineer,,,Morocco,,"Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | HealthTech | Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Cloud Services"
Hiba Akrach,Hiba,Akrach,,,Software Engineer,,,Morocco,,Technology | Software Services | Smart Cities | Data Centres | Cyber security | Cloud Services | Big Data & Analytics | Artificial Intelligence
Jinane AIT ELABD,Jinane,AIT ELABD,,,Engineer,,,Morocco,,Space Tech | Software Services | Smart Cities | Retail Tech
Zakaria Kaoukab,Zakaria,Kaoukab,,,Fullstack engineer,,,Morocco,,Technology | Software Services | Ecommerce
Marouane Chahboune,Marouane,Chahboune,,,Engineer,,,Morocco,,Technology | Software Services | Retail Tech
Yasser Aboulkacem,Yasser,Aboulkacem,,,Engineer,,,Morocco,,Technology | Software Services | Gaming
Mehdi Ahmoundi,Mehdi,Ahmoundi,,,Software Engineer,,,Morocco,,"Technology | Smart Cities | Media, Marketing & Advertising Tech | Gaming"
Mohammed hamouchi,Mohammed,hamouchi,,,Developer,,,Morocco,,Technology | Software Services | AR/VR/MR & Gaming | Ecommerce | Data Centres | Cyber security | Big Data & Analytics
Salma Lakhyari,Salma,Lakhyari,,,Event Coordinator,,,Morocco,,Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Sustainability & Green Climate - Tech | Space Tech | Software Services
Mohamed Ouahbi,Mohamed,Ouahbi,,,Assistant marketing,,,Morocco,,Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities
Ayoub Lahdoud,Ayoub,Lahdoud,,,Founder - CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Software Services | Retail Tech | Regulatory Technology | Quantum & High Performance Computing
Imrane Oulahguine,Imrane,Oulahguine,,,Co-founder,,,Morocco,,Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Quantum & High Performance Computing
Sanaa Tazi,Sanaa,Tazi,,,General Manager,,,Morocco,,Incubator/Accelerator/Investment | Technology | Sustainability & Green Climate - Tech
Moulay Mahdi BOUHAMIDI,Moulay,Mahdi BOUHAMIDI,,,HR Manager,,,Morocco,,Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Smart Cities | Retail Tech | Regulatory Technology | Networking & Infrastructure
Hind El Mradmi,Hind,El Mradmi,,,Consultante,,,Morocco,,Incubator/Accelerator/Investment | Technology | Software Services | Big Data & Analytics | Artificial Intelligence
Jaouad Moumen,Jaouad,Moumen,,,General Manager,,,Morocco,,Technology | Software Services | Smart Cities | Quantum & High Performance Computing | Networking & Infrastructure | HealthTech
Hajar DAHOU,Hajar,DAHOU,,,Student,,,Morocco,,Technology | Space Tech | Software Services | Smart Cities
Brahim Messaoudi,Brahim,Messaoudi,,,General Manager,,,Morocco,,Incubator/Accelerator/Investment | Technology | Sustainability & Green Climate - Tech | Networking & Infrastructure | Internet of Things (IOT) | Energy Tech | Artificial Intelligence
Meryem Graine,Meryem,Graine,,,Sales specialist,,,Morocco,,Technology | Space Tech | Software Services
Nasia AGUNAOU,Nasia,AGUNAOU,,,Manager IT,,,Morocco,,"Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Smart Manufacturing | Smart Cities | Retail Tech | PropTech | Networking & Infrastructure | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech"
Ibrahim El manghoudi,Ibrahim,El manghoudi,,,General Manager,,,Morocco,,Incubator/Accelerator/Investment | Technology | Space Tech | Software Services | Smart Cities | Networking & Infrastructure | Education Tech | Data Centres | Cyber security | Cloud Services | Big Data & Analytics | Artificial Intelligence
Saad EZ ZIZI,Saad,EZ ZIZI,,,HRIS Manager,,,Morocco,,Technology | HealthTech | Artificial Intelligence
Zouhair Hassan,Zouhair,Hassan,,,General manager,,,Morocco,,"Technology | Smart Cities | Internet of Things (IOT) | Data Centres | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Big Data & Analytics"
Ayoub Hamdani,Ayoub,Hamdani,,,Startup Coordinator,,,Morocco,,Technology | Big Data & Analytics | Artificial Intelligence
Khouloud ZARAIDI,Khouloud,ZARAIDI,,,Consultant SAGE,,,Morocco,,Technology | Space Tech | Ecommerce | Cyber security | Big Data & Analytics
Meryem Mahroudi,Meryem,Mahroudi,,,HR Manager,,,Morocco,,Technology | Future Mobility & Transportation | 5G & Telecommunications
Abdellah EL Aider,Abdellah,EL Aider,,,Consultant,,,Morocco,,Technology | Smart Cities | Networking & Infrastructure | HealthTech
Abdelali El Hachimi,Abdelali,El Hachimi,,,Consultant,,,Morocco,,Incubator/Accelerator/Investment | Technology | HealthTech
Lahoussaine Elkhiar,Lahoussaine,Elkhiar,,,Grant,,,Morocco,,"Technology | Energy Tech | Consumer Tech, Smart Home & Smart Workplace"
Fatimazzahra HERMANI,Fatimazzahra,HERMANI,,,Head Of HR,,,Morocco,,Technology | Cyber security | Big Data & Analytics | Artificial Intelligence
Faissale ABOUKIR,Faissale,ABOUKIR,,,Gerant,,,Morocco,,Technology | Internet of Things (IOT) | Ecommerce | Data Centres
Adam Sahli,Adam,Sahli,,,Gerant,,,Morocco,,Technology | Software Services | Ecommerce | Digital Finance | Data Centres | Artificial Intelligence
Mohammed Moussaif,Mohammed,Moussaif,,,Gerant,,,Morocco,,Technology | Software Services | Networking & Infrastructure | Data Centres | 5G & Telecommunications
Bouzekri Amri,Bouzekri,Amri,,,Gerant,,,Morocco,,Technology | Software Services | Retail Tech
Moulay Abdelilah Drissi,Moulay,Abdelilah Drissi,,,Gerant,,,Morocco,,Technology | Space Tech | Software Services | Networking & Infrastructure
Fafah RACHID,Fafah,RACHID,,,GERANT,,,Morocco,,Technology | Smart Cities | Gaming
Abdelali el ouadrhiri,Abdelali,el ouadrhiri,,,Gerant,,,Morocco,,"Software Services | Smart Manufacturing | Quantum & High Performance Computing | Networking & Infrastructure | Education Tech | Ecommerce | Cyber security | Consumer Tech, Smart Home & Smart Workplace"
Ilyas BEJJA,Ilyas,BEJJA,,,Gerant,,,Morocco,,"Unmanned Aerial Vehicles | Technology | Software Services | Smart Manufacturing | Smart Cities | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Big Data & Analytics | Artificial Intelligence | 5G & Telecommunications"
Rachid SEMOUG,Rachid,SEMOUG,,,Gerant,,,Morocco,,Technology | Space Tech | Quantum & High Performance Computing
Elbay Karim Officiel,Elbay,Karim Officiel,,,Gerant,,,Morocco,,Technology | Sustainability & Green Climate - Tech | Software Services | Regulatory Technology
Abdelaziz MOUJAHID,Abdelaziz,MOUJAHID,,,GERANT,,,Morocco,,"Technology | Mobile Accessories & Peripherals | Consumer Tech, Smart Home & Smart Workplace"
Kamal Nahi,Kamal,Nahi,,,Gerant,,,Morocco,,Technology | Networking & Infrastructure | Energy Tech | Data Centres | 5G & Telecommunications
Youssef Elbaz,Youssef,Elbaz,,,Gerant,,,Morocco,,Sustainability & Green Climate - Tech | Software Services | Smart Cities | Retail Tech | Regulatory Technology
Moulay Ahmed Alaoui Ismaili,Moulay,Ahmed Alaoui Ismaili,,,Gerant,,,Morocco,,Technology | Software Services | Smart Cities | PropTech | Networking & Infrastructure | AR/VR/MR & Gaming | Gaming | Future Mobility & Transportation | Data Centres | Cyber security | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech
Mohamed Marzak,Mohamed,Marzak,,,Gerant,,,Morocco,,"Technology | Space Tech | Software Services | Networking & Infrastructure | Media, Marketing & Advertising Tech | Ecommerce"
Moulay Ahmed Alaoui Ismaili,Moulay,Ahmed Alaoui Ismaili,,,Gerant,,,Morocco,,Technology | Software Services | Smart Cities | Data Centres | Cyber security | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services
Fatima Zahra EL OUASSIF,Fatima,Zahra EL OUASSIF,,,Technical Lead,,,Morocco,,"Technology | Sustainability & Green Climate - Tech | Space Tech | Retail Tech | Internet of Things (IOT) | Ecommerce | Data Centres | Cyber security | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Artificial Intelligence"
Fatima Ezzahra Bououdi,Fatima,Ezzahra Bououdi,,,Data Scientist Intern,,,Morocco,,Technology | Internet of Things (IOT) | Data Centres | Cyber security | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence
Yassine OUELD BENHOUMAN,Yassine,OUELD BENHOUMAN,,,Gerant,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Networking & Infrastructure | Internet of Things (IOT) | Energy Tech | Ecommerce | Cyber security | Consumer Tech, Smart Home & Smart Workplace | Artificial Intelligence"
Lwaeer ayoub,Lwaeer,ayoub,,,freelancer,,,Morocco,,Technology | Software Services | Smart Cities | AR/VR/MR & Gaming | Internet of Things (IOT) | Data Centres | Cyber security | Big Data & Analytics
Mouad Khaliqi,Mouad,Khaliqi,,,Commerce,,,Morocco,,"Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Regulatory Technology | Quantum & High Performance Computing | PropTech | Mobile Accessories & Peripherals | Media, Marketing & Advertising Tech | Internet of Things (IOT) | HealthTech | Gaming | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | 5G & Telecommunications | 3D Printing & Printing Services"
Yassine ABBOUCHI,Yassine,ABBOUCHI,,,GERANT,,,Morocco,,"Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | HealthTech | Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Aya MOUSTAOUI,Aya,MOUSTAOUI,,,SERVICE ACHAT,,,Morocco,,"Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | HealthTech | Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Lyahyawi Mohamed,Lyahyawi,Mohamed,,,Gerant,,,Morocco,,Technology | Software Services | Networking & Infrastructure | Internet of Things (IOT) | Ecommerce | Cloud Services | Big Data & Analytics
Hicham TAKFA,Hicham,TAKFA,,,GERANT,,,Morocco,,"Smart Manufacturing | Networking & Infrastructure | Media, Marketing & Advertising Tech | HealthTech"
Chafik Hamdani,Chafik,Hamdani,,,GERANT,,,Morocco,,"Technology | Retail Tech | Media, Marketing & Advertising Tech | Education Tech | Consumer Tech, Smart Home & Smart Workplace"
El Mehdi Dejjaj,El,Mehdi Dejjaj,,,Gerant,,,Morocco,,"Mobile Accessories & Peripherals | Media, Marketing & Advertising Tech | Internet of Things (IOT)"
Adil laatyaoui,Adil,laatyaoui,,,gerant,,,Morocco,,Space Tech | Regulatory Technology | Networking & Infrastructure
